ID,CHURN,Gender,Status,Children,Est Income,Car Owner,Age,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan
1,T,F,S,1,38000,N,24.393333,23.56,0,206.08,0,CC,Budget,Intnl_discount,229.64,3
6,F,M,M,2,29616,N,49.426667,29.78,0,45.5,0,CH,FreeLocal,Standard,75.29,2
8,F,M,M,0,19732.8,N,50.673333,24.81,0,22.44,0,CC,FreeLocal,Standard,47.25,3
11,F,M,S,2,96.33,N,56.473333,26.13,0,32.88,1,CC,Budget,Standard,59.01,1
14,F,F,M,2,52004.8,N,25.14,5.03,0,23.11,0,CH,Budget,Intnl_discount,28.14,1
17,F,M,M,2,53010.8,N,18.84,12.45,0,46.42,4,CC,FreeLocal,Standard,58.87,1
18,F,M,M,1,75004.5,N,64.8,26.52,0,32.19,0,CC,Budget,Intnl_discount,58.72,1
21,F,M,M,0,19749.3,N,60.366667,20.22,0,13.94,0,CC,Budget,Standard,34.17,3
22,F,M,S,1,57626.9,Y,43.906667,9.38,0,38.96,0,CC,Budget,Standard,48.35,2
23,F,M,M,2,20078,N,32.846667,9.65,0,6.33,0,CC,Budget,Intnl_discount,15.98,4
24,F,F,M,2,47902,N,26.033333,17.44,4.94,49.92,1,Auto,FreeLocal,Standard,72.31,2
29,T,M,M,1,7545.96,Y,16.753333,22.39,0,178.36,0,CC,Budget,Standard,200.75,3
35,T,F,S,0,78851.3,N,48.373333,0.37,0,28.66,0,CC,FreeLocal,Standard,29.04,4
36,T,F,S,1,17540.7,Y,62.786667,22.17,0.57,13.45,0,Auto,Budget,Standard,36.2,4
37,T,F,M,0,83891.9,Y,61.02,28.92,0,45.47,0,CH,Budget,Standard,74.4,4
38,T,F,M,2,28220.8,N,38.766667,26.49,0,12.46,0,CC,FreeLocal,Standard,38.95,4
40,T,F,S,0,28589.1,N,15.6,13.19,0,87.09,0,CC,FreeLocal,Standard,100.28,4
42,F,F,M,2,5237.63,N,48.753333,13.32,8.05,56.64,0,CC,Budget,Standard,78.02,2
45,T,M,S,2,89459.9,N,53.28,11.54,1.61,22.9,0,CC,FreeLocal,Standard,36.05,2
48,T,F,S,1,13576.5,N,39.426667,14.83,0,25.66,0,CC,Budget,Standard,40.49,1
52,T,F,M,2,67388,N,53.12,4.79,0.5,91.04,1,CC,Budget,Standard,96.33,3
53,F,F,M,1,57063,Y,52.333333,16.79,0,81.3,0,CH,Budget,Standard,98.1,4
54,T,F,M,2,84166.1,N,54.013333,3.28,0,11.74,1,CC,Budget,Standard,15.02,2
60,T,F,S,1,7737.94,N,42.666667,11.05,0,50.84,0,CC,FreeLocal,Standard,61.9,4
61,T,M,S,2,100020,N,50,21.37,0,293.24,0,CH,Budget,Standard,314.62,4
62,F,F,M,2,45287.6,Y,29.026667,0,0,2.97,0,CC,Budget,Standard,2.97,3
63,T,F,M,2,59613.1,N,34.32,12.37,0,163.41,0,CC,Budget,Intnl_discount,175.78,1
65,T,F,S,1,16326.7,N,50.613333,0,0,1.34,0,CC,FreeLocal,Intnl_discount,1.34,1
68,T,F,S,2,9559.78,N,51.38,18.31,0,59.59,0,CC,FreeLocal,Standard,77.91,3
71,F,F,M,2,42031.8,N,50.753333,20.45,0,39.33,0,CH,Budget,Intnl_discount,59.78,4
73,F,F,M,2,83284.1,Y,28.42,26.91,0,9.04,0,Auto,FreeLocal,Intnl_discount,35.96,4
74,F,M,M,1,39229.1,N,26.26,28.82,4.74,13.53,0,CC,Budget,Intnl_discount,47.1,4
75,F,F,S,0,68427.4,N,42.393333,23.76,0,50.05,0,Auto,FreeLocal,Standard,73.81,3
77,T,M,S,0,3601.71,N,49.266667,9.57,4.19,111.84,0,Auto,Budget,Intnl_discount,125.6,4
78,F,F,M,0,72642.6,N,27.646667,18.66,0,20.34,0,CH,FreeLocal,Intnl_discount,39,4
79,T,F,S,0,98716.3,N,55.66,20.97,8.23,13.92,0,CC,FreeLocal,Standard,43.13,4
80,F,F,S,2,66182.7,Y,62.48,11.7,0,47.17,0,Auto,Budget,Standard,58.87,2
81,T,F,M,2,84789.3,N,50.433333,14.22,8.8,10.45,0,CH,FreeLocal,Standard,33.47,4
83,T,F,M,2,35976.5,Y,48.853333,18.85,0,31.78,0,Auto,FreeLocal,Intnl_discount,50.63,4
84,F,F,M,0,32703.1,Y,64.92,16.8,0,56.09,0,CC,Budget,Intnl_discount,72.89,4
